1;<Manuel Rosa de Oliveira Lino>;[Bioquímica, Economia, Engenharia Civil];[Estatística Sócio-Econômica, Lipídeos, Processos Construtivos]
7;<Carlos Barros Montez>;[Ciência da Computação, Engenharia Elétrica];[Sistemas de Telecomunicações, Software Básico, Teleinformática]
8;<Jefferson Luiz Brum Marques>;[Ciência da Computação, Educação, Engenharia Biomédica, Engenharia Civil, Engenharia Elétrica, Engenharia de Produção, Fisiologia, Matemática, Medicina, Psicologia, Química];[Angiologia, Análise Numérica, Automação Eletrônica de Processos Elétricos e Industriais, Avaliação da Aprendizagem, Banco de Dados, Bioeletromagnetismo, Bioinformática, Biomateriais e Materiais Biocompatíveis, Cancerologia, Cardiologia, Circuitos Magnéticos , Magnetismos e Eletromagnetismos, Eletroquímica, Endocrinologia, Engenharia de Software, Estruturas de Concreto, Estudo de Mercado, Fisiologia Cardiovascular, Fisiologia Endócrina, Geração da Energia Elétrica, Gerência do Projeto e do Produto, Hardware, Instrumentação Eletromecânica, Instrumentação Eletrônica, Instrumentação Odontológica e Médico-Hospitalar, Linguagem Formais e Autômatos, Localização Industrial, Materiais e Componentes Semicondutores, Medidas Magnéticas, Medição, Controle, Correção e Proteção de Sistemas Elétricos de Potência, Metodologia, Instrumentação e Equipamento em Psicologia, Modelagem de Fenômenos Biológicos, Modelagem de Sistemas Biológicos, Modelos Analíticos e de Simulação, Neurofisiologia, Neurologia, Ortopedia, Processamento Digital de Sinais, Processamento Gráfico (Graphics), Processamento de Imagens, Processamento de Sinais Biológicos, Psicologia Educacional, Sistemas Eletrônicos de Medida e de Controle, Sistemas de Informação, Software Básico, Tecnologia Educacional, Tecnologia de Próteses, Teleinformática, Teoria Geral de Planejamento e Desenvolvimento Curricular, Teoria Geral dos Circuitos Elétricos, Transdutores para Aplicações Biomédicas, Técnicas de Processamento Estatístico, Matemático e Computacional em Psicologia]
8;<Jorge Muniz Barreto>;[Administração, Ciência da Computação, Economia, Educação, Engenharia Biomédica, Engenharia Elétrica, Fisiologia, Geociências, Matemática];[Abordagem Holística, Administração da Produção, Agentes, Agentes Autônomos, Agentes Cognitivos, Algoritmos Genéticos, Análise Numérica, Análise de Algoritmos e Complexidade de Computação, Arquitetura de Sistemas de Computação, Automação Eletrônica de Processos Elétricos e Industriais, Biologia Matemática, Biomédica, Circuitos Lineares e Não-Lineares, Computabilidade e Modelos de Computação, Computação Evolucionária, Computação Móvel, Conjuntos Nebulosos, Controle Nebuloso, Controle de Procesos, Controle de Processos Eletrônicos, Retroalimentação, Criptografia, Currículos Específicos para Níveis e Tipos de Educação, Datamining, Engenharia de Software, Ensino Com Computador, Fisiologia Cardiovascular, Geofísica Aplicada, Informática Em Saúde, Informática no Ensino, Inteligência Artificial, Linguagem Formais e Autômatos, Linguagens de Programação, Lógica Matemática, Lógicas e Semântica de Programas, Modelagem de Sistemas Biológicos, Modelos Analíticos e de Simulação, Métodos e Técnicas de Ensino, Processamento Gráfico (Graphics), Processamento de Sinais Biológicos, Raciocínio Por Casos, Realidade Virtual, Reconhecimento de Padrões, Redes Neurais, Relações do Comércio; Política Comercial; Integração Econômica, Robótica, Segurança, Simulação, Sistemas Especialistas, Sistemas Híbridos, Sistemas de Agentes, Sistemas de Informação, Software Básico, Teleinformática, Teoria Geral de Sistemas, Teoria Geral dos Circuitos Elétricos]
8;<Renato Garcia Ojeda>;[Ciência da Computação, Engenharia Biomédica, Engenharia Elétrica];[EQUIPAMENTOS MEDICO-HOSPITALARES, Engenharia Clinica, Hardware, Instrumentação Eletrônica, Instrumentação Odontológica e Médico-Hospitalar, Processamento de Sinais Biológicos]
8;<Mauro Roisenberg>;[Ciência da Computação, Engenharia Elétrica, Engenharia de Produção, Geociências, Medicina];[Arquitetura de Sistemas de Computação, Automação Eletrônica de Processos Elétricos e Industriais, Geofísica Aplicada, Hardware, Inteligência Artificial, Linguagem Formais e Autômatos, Linguagens de Programação, Medidas Elétricas, Processos Estocásticos e Teoria das Filas, Reumatologia, Sistemas de Informação, Software Básico, Teleinformática]
9;<Jomi Fred Hübner>;[];[]
10;<Eduardo Augusto Bezerra>;[Ciência da Computação, Engenharia Aeroespacial, Engenharia Elétrica, Engenharia Nuclear, Engenharia de Energia];[Algoritmos e Estruturas de Dados, Arquitetura de Computadores, Arquitetura de Sistemas de Computação, Circuitos Eletrônicos, Computação Reconfigurável, Eletrônica Industrial, Energia Solar Fotovoltáica, Engenharia de Software, Geração da Energia Elétrica, Hardware, Instrumentação para Medida e Controle de Radiação, Linguagem Formais e Autômatos, Microeletrônica, Mobilidade e Computação Ubíqua, Redes de Computadores, Satélites e Outros Dispositivos Aeroespaciais, Sistemas Embarcados, Sistemas de Telecomunicações, Software Básico, Teste Software e Hardware, Tolerância a Falhas e Confiabilidade de Sistemas, Uso Eficiente de Energia]
10;<Marcelo Ricardo Stemmer>;[Ciência da Computação, Engenharia Elétrica, Engenharia Mecânica];[Automação Eletrônica de Processos Elétricos e Industriais, Controle de Processos Eletrônicos, Retroalimentação, Processos de Fabricação, Seleção Econômica, Reconhecimento de Padrões, Robotização, Sistemas de Informação]
10;<Jean Everson Martina>;[Ciência da Computação];[Banco de Dados, Cerimônias Criptográficas, Clusters de Processamento Distribuído, Criptoanálise, Emissão de Documentos Digitais, Engenharia de Software, Gerenciamento de Certificados Digitais, Linguagens de Programação, Lógicas e Semântica de Programas, Mecanismos de Assinatura Digital, Métodos Formais para Segurança, Protocolos Criptográficos, Práticas de Segurança, Redes Privadas Virtuais, Redes Troncalizadas, Segurança de Redes, Sistemas de Informação, Software Básico]
10;<Leandro Buss Becker>;[Ciência da Computação, Engenharia Elétrica];[Arquitetura de Sistemas de Computação, Automação Eletrônica de Processos Elétricos e Industriais, Controle de Processos Eletrônicos, Retroalimentação, Hardware, Linguagens de Programação, Redes de Sensores Sem Fio, Sistemas Computacionais Embarcados, Sistemas de Informação, Tolerância a Falhas]
